"Data Source","World Development Indicators",

"Last Updated Date","2021-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.5254442854605","","25.9804991456962","24.3398112004565","25.7646028220782","24.6927032887535","25.4979102932387","24.8385689126912","25.1000404515736","26.5354501678136","26.5437226655614","25.954845831464","27.4320671096245","25.8905920884694","27.8353557906301","27.2651890458996","26.4913281267835","25.4226712775343","27.5327797091283","30.0595354787248","31.0353800956985","",
"Afghanistan","AFG","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.5781737687622","24.2432588226125","50.7192978736512","44.3178392396772","50.8630045999057","59.4847758807514","42.3292514484608","42.0936844468805","44.5892994893339","37.0225695736427","43.9227656125389","39.2201099807684","","","",
"Africa Western and Central","AFW","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6524460019801","21.8300194095745","29.0157756429379","21.1229588884631","25.9032756131845","16.145436704097","20.8255646807053","19.0326436506387","20.8230172371605","22.3855332282409","25.5005040191697","25.6491744238504","26.6713218932877","23.4498303836786","28.2092383291269","27.967359355335","20.8188318427411","17.5116635351029","16.6711371453949","","","",
"Albania","ALB","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.8909560055278","21.0781948738771","25.5827017063406","30.0332705025337","","","","24.831867131436","22.9013925627137","22.7939358918943","","","","","","","23.011105560955","23.0075910689151","24.1607792110922","24.3826719044142","24.446183930057","23.9567274814736","23.8675875554251","23.2812516936405","23.3251456481538","",
"Andorra","AND","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.05387363605581","6.54878847413229","6.20006062052198","","","","","","","","","","","","4.12550016580332","4.24840745549923","4.01105941620261","3.8952818504979","4.28850810607108","4.4659581193146","4.06642838718575","3.9631141190009","4.22743968671365","",
"Argentina","ARG","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3254404487432","11.2055409345172","11.8011099217048","14.2818561185834","14.9007924176507","15.5112306915719","15.1655476442657","15.0142218610321","15.0988005449104","16.7436856974566","16.8328883767368","16.9923529034125","19.6771706443151","19.8373029880995","16.8763416365527","","","","","","","","","","24.5697808575806","25.0083932347048","26.1799164832469","24.2825320419979","23.0030544896098","22.1507301125766","",
"Armenia","ARM","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.9559988456693","18.1464405215631","17.1482192993136","17.0424253804612","21.1396851697465","23.8619179943921","22.9973623470093","22.5680163171222","21.3736421560682","22.6371817977093","23.9875580530759","25.0779813488419","25.7115181584805","22.6297249923647","22.0768137564949","21.6733251215233","",
"American Samoa","ASM","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","18.0851542127507","18.4895571592257","18.1709583222724","21.3029975126126","23.6802268303818","23.65260111997","24.5341644506715","23.7344734245744","23.3976075700768","23.5944052266961","23.3255890760418","25.6094144017932","26.5106993223294","26.4830427325693","26.1900553335383","25.7516362745441","24.2484307895606","22.2288428888599","21.8612885653444","23.2129027588453","24.4847282617701","25.0157308236186","25.1382686362075","25.4515566141696","24.6270368215254","23.8644242388225","21.3685837540406","24.5677999035703","24.0839192992911","26.2649170432272","26.4337032799339","25.7735717139433","25.6963970273124","25.6395745312895","24.9779713577472","24.5017223560248","24.3704095682287","26.4938558657932","26.7688330332283","26.0321384250703","26.1413123942118","25.8963215034495","26.2708238193841","26.7570314187914","26.9385938819086","26.5625682674079","26.1359111957416","26.1035090234959","",
"Austria","AUT","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","25.9154023613309","27.6120908554838","27.9038754891101","31.1084772401006","31.6191569074545","31.4136614535884","33.851749395445","33.3224233199091","33.4739415355526","34.5654437055633","34.9966350904155","35.4160012858175","35.7051302388211","35.5729953462687","36.2747020742246","36.8555837633843","37.1699418693453","35.7534636839964","35.59127017012","36.0426098868946","36.6971489195952","38.7564718347994","38.6749163266011","48.718401551452","48.7386551439875","47.5228026402187","47.2509965921999","47.1087352314622","46.2637884393769","46.6155822276541","45.9729061942825","46.0361284875525","48.6070087732423","45.9123787174206","45.188096157763","43.9779149065683","44.5742438153401","47.8483531787954","46.4268097130133","45.5076870354388","46.1450485455905","46.6216222891406","47.5011876922336","46.2684510027225","44.9967848869132","44.3323608090794","43.6962591189284","43.4915571209558","",
"Azerbaijan","AZE","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.1976514544969","19.8269659761927","15.807941154944","16.221372257227","18.7678486310527","19.0095414691002","","","","","","","","","18.5077683545439","23.0788028594301","20.8724832214765","18.4783610460428","22.1853838889224","20.9255439826751","22.1009894245612","24.7887090842221","27.1959381185333","27.9587305829867","21.402262398242","25.7284831286433","",
"Burundi","BDI","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","13.6709389067377","","","","","","","","","","23.0257010448423","27.69193312738","28.2540590208745","25.1830169273105","23.6275593735149","22.7156974534398","","22.0782858570715","20.647628458498","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.5728111336882","45.937622936705","44.697380428065","44.4212071163828","43.8128230398056","42.6348525059249","43.0371850255112","41.4436065241409","42.5564419939957","40.8989362902799","43.5309136698259","40.5934156846885","40.2935344941736","42.1013518104548","44.3987233629884","43.579571630894","44.8411007538412","45.9131579567486","45.5420739156994","45.1719874254131","41.5945806757549","41.0067723774795","39.9530300071835","39.8359928240344","39.5974670384991","",
"Benin","BEN","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
